STT,Số ký hiệu,Ngày ban hành,Tên văn bản,link
35.0,03/2025/NĐ-CP,01/01/2025,"Quy định việc sắp xếp lại, xử lý tài sản công là nhà, đất",https://vbpl.vn/TW/Pages/vbpq-van-ban-goc.aspx?ItemID=175204&Keyword=03/2025/NĐ-CP
36.0,123/2024/NĐ-CP,04/10/2024,Quy định về xử phạt vi phạm hành chính trong lĩnh vực đất đai,https://vbpl.vn/TW/Pages/vbpq-van-ban-goc.aspx?ItemID=174275&Keyword=123/2024/NĐ-CP
37.0,108/2024/NĐ-CP,23/08/2024,"Quy định việc quản lý, sử dụng và khai thác nhà, đất là tài sản công không sử dụng vào mục đích để ở giao cho tổ chức có chức năng quản lý, kinh doanh nhà địa phương quản lý, khai thác",https://vbpl.vn/TW/Pages/vbpq-van-ban-goc.aspx?ItemID=172735&Keyword=108/2024/NĐ-CP
38.0,104/2024/NĐ-CP,31/07/2024,Quy định về Quỹ phát triển đất,https://vbpl.vn/TW/Pages/vbpq-van-ban-goc.aspx?ItemID=172734&Keyword=104/2024/NĐ-CP
39.0,103/2024/NĐ-CP,30/07/2024,"Quy định về tiền sử dụng đất, tiền thuê đất",https://vbpl.vn/TW/Pages/vbpq-van-ban-goc.aspx?ItemID=172729&Keyword=103/2024/NĐ-CP
40.0,102/2024/NĐ-CP,30/07/2024,Quy định chi tiết thi hành một số điều của Luật Đất đai,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=169363&Keyword=102/2024/NĐ-CP
41.0,101/2024/NĐ-CP,29/07/2024,"Quy định về điều tra cơ bản đất đai; đăng ký, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất và Hệ thống thông tin đất đai",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=169188&Keyword=101/2024/NĐ-CP
42.0,100/2024/NĐ-CP,26/07/2024,Quy định chi tiết một số điều của Luật Nhà ở về phát triển và quản lý nhà ở xã hội,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=169712&Keyword=100/2024/NĐ-CP
43.0,98/2024/NĐ-CP,25/07/2024,"Quy định chi tiết một số điều của Luật Nhà ở về cải tạo, xây dựng lại nhà chung cư",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=169711&Keyword=98/2024/NĐ-CP
44.0,96/2024/NĐ-CP,24/07/2024,Quy định chi tiết một số điều của Luật Kinh doanh bất động sản,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=169708&Keyword=96/2024/NĐ-CP
45.0,94/2024/NĐ-CP,24/07/2024,"Quy định chi tiết một số điều của Luật Kinh doanh bất động sản về xây dựng và quản lý hệ thống thông tin, cơ sở dữ liệu về nhà ở và thị trường bất động sản",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=169707&Keyword=94/2024/NĐ-CP
46.0,88/2024/NĐ-CP,15/07/2024,"Quy định về bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất",https://vbpl.vn/TW/Pages/vbpq-van-ban-goc.aspx?ItemID=168582&Keyword=88/2024/NĐ-CP
47.0,71/2024/NĐ-CP,27/06/2024,Quy định về giá đất,https://vbpl.vn/TW/Pages/vbpq-van-ban-goc.aspx?ItemID=168381&Keyword=71/2024/NĐ-CP
48.0,12/2024/NĐ-CP,05/02/2024,"Sửa đổi, bổ sung một số điều của Nghị định số 44/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định về giá đất và Nghị định số 10/2023/NĐ-CP ngày 03 tháng 4 năm 2023 của Chính phủ sửa đổi, bổ sung một số điều của các nghị định hướng dẫn thi hành Luật Đất đai",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=166104&Keyword=12/2024/NĐ-CP
49.0,10/2023/NĐ-CP,03/04/2023,"Sửa đổi, bổ sung một số điều của các nghị định hướng dẫn thi hành Luật Đất đai",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=159995&Keyword=10/2023/NĐ-CP
50.0,44/2022/NĐ-CP,29/06/2022,"Về xây dựng, quản lý và sử dụng hệ thống thông tin về nhà ở và thị trường bất động sản",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=159427&Keyword=44/2022/NĐ-CP
